iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
180,2049.87,64.6363,19015,10751,387,386,347149,871520,6017.44,63.6637,0.226,2.04391e+07,20,24651,1897.08,2225.15
181,2046.06,64.4377,19064,13403,385,387,352810,875266,5867.57,63.7829,0.23,2.04391e+07,20,24651,1893.9,2197.43
182,2054.18,64.4579,19180,12305,388,385,359685,874865,5883.62,63.8544,0.224,2.04391e+07,20,24651,1898.14,2241.8
183,2036.59,64.4975,18814,12893,383,388,365606,877354,5784.06,63.8964,0.234,2.04391e+07,20,24651,1889.29,2190.06
184,2038.43,64.4089,19023,10493,388,383,374136,871515,6017.61,63.9075,0.224,2.04391e+07,20,24651,1893.5,2209.08
185,2055.68,64.1257,19126,10763,388,388,382499,866331,6224.98,63.8933,0.224,2.04391e+07,20,24651,1886.48,2219.79
186,2040.2,63.9998,18825,13741,383,388,387583,871068,6035.49,63.8322,0.234,2.04391e+07,20,24651,1902.5,2221.8
187,2053.67,63.8934,19238,13798,390,383,393023,875107,5873.96,63.7462,0.22,2.04391e+07,20,24651,1889.65,2223.67
188,2033.27,63.6129,18805,12867,383,390,398961,877273,5787.28,63.6481,0.234,2.04391e+07,20,24651,1880.31,2180.94
189,2044.46,63.5303,19138,13100,388,383,404999,879095,5714.4,63.5145,0.224,2.04391e+07,20,24651,1894.25,2202.82
190,2048.54,63.2309,18670,12107,380,388,411562,878367,5743.53,63.3747,0.24,2.04391e+07,20,24651,1901.07,2214.03
191,2044.42,63.0057,19405,12614,393,380,418353,877944,5760.44,63.2014,0.214,2.04391e+07,20,24651,1874.59,2225.11
192,2050.03,62.8002,18823,12024,381,393,425152,876774,5807.24,63.0095,0.238,2.04391e+07,20,24651,1897.19,2189.94
193,2048.75,62.4188,19194,12454,390,381,431892,875713,5849.69,62.7933,0.22,2.04391e+07,20,24651,1883.82,2224.88
194,2049.84,62.1682,18863,13112,383,390,437643,877357,5783.94,62.5365,0.234,2.04391e+07,20,24651,1883.02,2218.18
195,2033.79,61.3168,19264,13521,392,383,443386,879064,5715.68,62.2752,0.216,2.04391e+07,20,24651,1906.59,2171.24
196,2060.81,61.3729,19181,13792,387,392,448775,881815,5605.62,61.9519,0.226,2.04391e+07,20,24651,1885.03,2220.27
197,2039.24,60.8613,18393,14198,376,387,452970,886875,5403.22,61.623,0.248,2.04391e+07,20,24651,1884.23,2202.72
198,2038.46,60.7904,18922,12574,386,376,459318,885665,5451.61,61.3012,0.228,2.04391e+07,20,24651,1874.1,2229.35
199,2047.94,60.1349,19406,12362,393,386,466362,882736,5568.77,60.9885,0.214,2.04391e+07,20,24651,1884.61,2225.51
