iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
184,2046.22,64.2091,19107,13031,386,389,379717,853361,5698.26,63.7868,0.228,1.99164e+07,20,24796,1868.25,2220.43
185,2048.48,64.0374,19415,10554,390,386,388578,847137,5947.24,63.747,0.22,1.99164e+07,20,24796,1887.04,2235.76
186,2043.18,63.8611,18795,12485,380,390,394888,848049,5910.76,63.665,0.24,1.99164e+07,20,24796,1890.72,2236.28
187,2045.71,63.5833,19261,13307,389,380,400842,850546,5810.88,63.5553,0.222,1.99164e+07,20,24796,1884.27,2211.97
188,2039.28,63.3233,19020,13665,386,389,406197,854362,5658.23,63.4161,0.228,1.99164e+07,20,24796,1889.04,2225.03
189,2046.7,62.8451,19059,12931,385,386,412325,856037,5591.22,63.2699,0.23,1.99164e+07,20,24796,1883.51,2198.14
190,2041.33,63.126,19281,13888,389,385,417718,859857,5438.43,63.0576,0.222,1.99164e+07,20,24796,1890.44,2223.86
191,2044.6,62.7964,18987,11714,382,389,424991,857556,5530.47,62.8775,0.236,1.99164e+07,20,24796,1880.93,2219.73
192,2045.51,62.5053,19257,11487,389,382,432761,853820,5679.91,62.6752,0.222,1.99164e+07,20,24796,1883.53,2204.94
193,2055.99,62.0844,19027,11870,384,389,439918,851263,5782.19,62.4452,0.232,1.99164e+07,20,24796,1883.64,2241.75
194,2050.59,61.4847,19067,14394,385,384,444591,856235,5583.3,62.1475,0.23,1.99164e+07,20,24796,1877.16,2231.28
195,2048.35,61.1703,19011,15533,382,385,448069,864619,5247.94,61.7977,0.236,1.99164e+07,20,24796,1885.41,2216.49
196,2042.7,61.0467,19276,10744,391,382,456601,857307,5540.44,61.5357,0.218,1.99164e+07,20,24796,1889.59,2215.75
197,2046.61,60.652,19017,12809,384,391,462809,857081,5549.47,61.2085,0.232,1.99164e+07,20,24796,1878.09,2196.75
198,2036.13,60.0093,19090,13791,388,384,468108,859033,5471.4,60.8476,0.224,1.99164e+07,20,24796,1886.17,2199.52
199,2047.08,59.8159,19353,12714,389,388,474747,857307,5540.42,60.4818,0.222,1.99164e+07,20,24796,1893.35,2205.12
200,2041.02,59.1888,18955,12800,383,389,480902,856454,5574.55,60.1113,0.234,1.99164e+07,20,24796,1877.86,2195.81
201,2049.11,58.8327,19110,11727,385,383,488285,851406,5776.46,59.7482,0.23,1.99164e+07,20,24796,1897.41,2230.06
202,2037.97,58.2333,18915,13306,383,385,493894,851156,5786.46,59.326,0.234,1.99164e+07,20,24796,1899.62,2197.19
203,2046.31,57.5873,19551,13015,392,383,500430,848858,5878.41,58.9014,0.216,1.99164e+07,20,24796,1885.94,2206.68
204,2036.6,56.8885,19014,13880,383,392,505564,849547,5850.83,58.4351,0.234,1.99164e+07,20,24796,1891.99,2192.3
205,2048.93,56.563,19262,13130,388,383,511696,847117,5948.05,57.9681,0.224,1.99164e+07,20,24796,1886.64,2232.07
206,2042.4,55.8108,19040,15846,385,388,514890,852238,5743.19,57.4082,0.23,1.99164e+07,20,24796,1895.23,2202.87
207,2045.55,55.743,19592,12844,393,385,521638,847600,5928.7,56.9262,0.214,1.99164e+07,20,24796,1913.18,2209.96
